City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gotsu,JP,2021-10-05 21:05:46,35.0,132.2167,67.21,69,83,4.92
1,Tautira,PF,2021-10-05 21:09:09,-17.7333,-149.15,82.42,71,61,10.58
2,Avarua,CK,2021-10-05 21:04:38,-21.2078,-159.775,78.85,65,20,20.71
3,Provideniya,RU,2021-10-05 21:04:32,64.3833,-173.3,39.31,87,90,6.71
4,Ushuaia,AR,2021-10-05 21:04:23,-54.8,-68.3,44.26,53,0,17.27
5,Cidreira,BR,2021-10-05 21:04:37,-30.1811,-50.2056,59.94,58,0,8.5
6,Mataura,NZ,2021-10-05 21:04:25,-46.1927,168.8643,56.48,92,100,5.21
7,Paita,PE,2021-10-05 21:04:43,-5.0892,-81.1144,77.56,76,20,15.88
8,Punta Arenas,CL,2021-10-05 21:03:42,-53.15,-70.9167,48.31,40,0,18.41
9,Thompson,CA,2021-10-05 21:00:38,55.7435,-97.8558,55.45,23,100,8.37
10,Vaini,TO,2021-10-05 21:00:54,-21.2,-175.2,74.8,77,51,14.2
11,Hobart,AU,2021-10-05 21:04:32,-42.8794,147.3294,49.86,63,75,1.99
12,Tiksi,RU,2021-10-05 21:04:33,71.6872,128.8694,28.0,93,100,10.69
13,East London,ZA,2021-10-05 21:04:48,-33.0153,27.9116,60.55,81,46,8.08
14,Cabedelo,BR,2021-10-05 21:07:40,-6.9811,-34.8339,79.47,79,28,13.96
15,Rikitea,PF,2021-10-05 21:04:30,-23.1203,-134.9692,74.44,77,57,19.98
16,Narasimharajapura,IN,2021-10-05 21:09:10,13.6167,75.5167,70.23,95,100,3.53
17,Butaritari,KI,2021-10-05 21:03:51,3.0707,172.7902,81.88,70,19,14.47
18,Iisalmi,FI,2021-10-05 21:09:10,63.5592,27.1907,48.22,96,100,8.32
19,Douglas,US,2021-10-05 21:08:40,41.3,-96.167,78.51,59,40,3.0
20,Bluff,NZ,2021-10-05 21:04:28,-46.6,168.3333,56.8,93,100,7.72
21,Upernavik,GL,2021-10-05 21:00:36,72.7868,-56.1549,30.06,52,100,5.26
22,Kavieng,PG,2021-10-05 21:04:49,-2.5744,150.7967,80.49,80,100,8.39
23,Atuona,PF,2021-10-05 21:00:48,-9.8,-139.0333,78.37,73,72,20.87
24,Laguna,US,2021-10-05 21:09:11,38.421,-121.4238,87.64,25,1,7.0
25,Panji,ID,2021-10-05 21:09:11,-7.7253,114.0995,74.71,79,76,6.67
26,Hualmay,PE,2021-10-05 21:09:12,-11.0964,-77.6139,65.53,76,86,10.2
27,Vila Velha,BR,2021-10-05 21:00:44,-20.3297,-40.2925,71.94,86,99,9.55
28,Mandawar,IN,2021-10-05 21:09:12,29.5,78.1333,77.18,67,4,2.82
29,Pangkalanbuun,ID,2021-10-05 21:09:12,-2.6833,111.6167,73.87,97,99,1.45
30,Belgrade,RS,2021-10-05 21:08:36,44.804,20.4651,64.06,45,0,21.85
31,Grindavik,IS,2021-10-05 21:01:59,63.8424,-22.4338,43.27,81,75,12.66
32,Chokurdakh,RU,2021-10-05 21:02:25,70.6333,147.9167,20.62,89,100,10.18
33,Yerbogachen,RU,2021-10-05 21:09:13,61.2767,108.0108,27.09,95,86,6.04
34,Nyagan,RU,2021-10-05 21:09:13,62.1406,65.3936,34.12,95,100,5.46
35,Busselton,AU,2021-10-05 21:04:32,-33.65,115.3333,37.04,74,60,4.76
36,Hermanus,ZA,2021-10-05 21:04:39,-34.4187,19.2345,57.79,88,9,10.31
37,Norman Wells,CA,2021-10-05 21:09:14,65.282,-126.8329,33.01,80,22,8.28
38,Puerto Ayora,EC,2021-10-05 21:01:40,-0.7393,-90.3518,70.56,87,70,5.99
39,Minna,NG,2021-10-05 21:09:14,9.6139,6.5569,75.07,89,99,3.15
40,Sergeyevka,KZ,2021-10-05 21:06:27,53.88,67.4158,27.0,81,13,3.98
41,Sarkand,KZ,2021-10-05 21:09:14,45.41,79.9186,33.96,97,100,5.79
42,Esperance,AU,2021-10-05 21:04:35,-33.8667,121.9,52.9,69,97,11.7
43,Rio Verde De Mato Grosso,BR,2021-10-05 21:09:15,-18.9181,-54.8442,91.8,38,87,4.25
44,Garowe,SO,2021-10-05 21:09:15,8.4054,48.4845,78.62,70,10,21.45
45,Georgetown,MY,2021-10-05 21:04:30,5.4112,100.3354,77.9,93,20,3.44
46,Henties Bay,NA,2021-10-05 21:09:15,-22.116,14.2845,53.85,86,3,5.55
47,Cayenne,GF,2021-10-05 21:09:16,4.9333,-52.3333,86.04,80,0,5.01
48,Port Alfred,ZA,2021-10-05 21:04:33,-33.5906,26.891,61.36,79,44,13.94
49,Hithadhoo,MV,2021-10-05 21:05:18,-0.6,73.0833,83.35,76,92,16.96
